title,genres,runtime,vote_average,vote_count,year
In the Name of the King: A Dungeon Siege Tale,"['Adventure', 'Fantasy', 'Action', 'Drama']",127.0,4.1,227.0,2007
Flawless,"['Crime', 'Drama', 'Thriller']",108.0,6.6,142.0,2007
Live-In Maid,"['Drama', 'Foreign']",83.0,7.8,3.0,2004
Along the Ridge,['Drama'],108.0,7.3,10.0,2006
Cloverfield,"['Action', 'Thriller', 'Science Fiction']",85.0,6.4,2297.0,2008
Mad Money,"['Action', 'Comedy', 'Crime']",104.0,5.9,146.0,2008
The Detonator,"['Action', 'Thriller']",91.0,4.2,30.0,2006
Trade,"['Drama', 'Thriller']",120.0,6.8,69.0,2007
Cleaner,"['Crime', 'Thriller', 'Mystery']",88.0,5.9,201.0,2007
"Rachel, Rachel","['Drama', 'Romance']",101.0,6.0,17.0,1968
Hatchet,"['Comedy', 'Horror']",83.0,5.7,161.0,2006
Blonde Ambition,"['Comedy', 'Romance']",93.0,3.9,30.0,2007
Welcome to L.A.,"['Romance', 'Drama', 'Music']",106.0,5.5,4.0,1976
Timber Falls,"['Horror', 'Thriller']",97.0,5.2,38.0,2007
The Sensation Of Sight,"['Drama', 'Family']",134.0,0.0,0.0,2006
Arranged,"['Drama', 'Action', 'Comedy', 'Thriller', 'Romance']",90.0,6.0,13.0,2007
He Was a Quiet Man,"['Romance', 'Comedy', 'Drama']",95.0,6.5,83.0,2007
Viva Villa!,['Western'],115.0,5.0,5.0,1934
The Return of Doctor X,"['Horror', 'Thriller']",62.0,5.6,7.0,1939
The Cheyenne Social Club,"['Action', 'Comedy', 'Western']",103.0,6.0,15.0,1970
"Laugh, Clown, Laugh",['Drama'],73.0,6.4,7.0,1928
The Iron Horse,['Western'],150.0,7.1,11.0,1924
Just Pals,"['Drama', 'Western']",50.0,6.8,3.0,1920
3 Bad Men,"['Romance', 'Western']",92.0,7.3,8.0,1926
Heaven and Earth,['Drama'],104.0,5.6,4.0,1990
Cat Soup,"['Fantasy', 'Animation', 'Science Fiction', 'Family']",34.0,7.4,27.0,2001
The Girl Who Leapt Through Time,"['Fantasy', 'Animation', 'Drama', 'Science Fiction']",98.0,7.8,435.0,2006
Sex and Breakfast,"['Comedy', 'Drama', 'Romance']",81.0,4.9,11.0,2007
What?,['Comedy'],114.0,6.1,23.0,1972
One Missed Call,"['Horror', 'Mystery', 'Thriller']",87.0,4.7,174.0,2008
First Sunday,"['Action', 'Comedy']",96.0,5.3,40.0,2008
Untraceable,['Drama'],101.0,5.9,241.0,2008
Rambo,"['Action', 'Thriller']",92.0,6.4,1009.0,2008
How She Move,['Drama'],94.0,3.0,6.0,2008
Meet the Spartans,['Comedy'],84.0,3.8,370.0,2008
The Eye,"['Drama', 'Horror', 'Thriller']",98.0,5.5,284.0,2008
Strange Wilderness,['Comedy'],87.0,4.7,70.0,2008
Over Her Dead Body,['Comedy'],95.0,5.3,147.0,2008
Fallen Art,"['Animation', 'Comedy']",6.0,7.6,22.0,2004
Kings of the Road,['Drama'],175.0,7.1,11.0,1976
The Signal,"['Action', 'Thriller', 'Horror', 'Science Fiction']",103.0,5.9,85.0,2007
Hellboy II: The Golden Army,"['Adventure', 'Fantasy', 'Science Fiction']",120.0,6.5,1555.0,2008
The Green Man,['Comedy'],80.0,6.6,6.0,1956
Ira & Abby,"['Comedy', 'Romance']",104.0,5.8,9.0,2006
In Bruges,"['Comedy', 'Drama', 'Crime']",107.0,7.4,1414.0,2008
The Shoes of the Fisherman,['Drama'],156.0,6.1,10.0,1968
That Man from Rio,"['Action', 'Adventure', 'Comedy']",110.0,7.1,32.0,1964
"Clean, Shaven","['Drama', 'Crime']",79.0,7.0,24.0,1993
À nos amours,"['Drama', 'Romance']",102.0,5.6,37.0,1983
Thunder Rock,"['Drama', 'Fantasy', 'War']",112.0,7.3,3.0,1942
Bamako,['Drama'],115.0,6.4,9.0,2006
World on a Wire,"['Crime', 'Drama', 'Science Fiction', 'Thriller']",213.0,7.2,33.0,1973
The Bottom of the Sea,[],0.0,6.7,6.0,2003
Cazuza: Time Doesn't Stop,"['Drama', 'Music']",98.0,6.9,34.0,2004
Future by Design,['Documentary'],86.0,7.6,6.0,2006
Caramel,"['Drama', 'Comedy', 'Romance']",96.0,6.8,53.0,2007
Poor Boy's Game,['Drama'],104.0,5.4,6.0,2007
Operation Homecoming: Writing the Wartime Experience,['Documentary'],81.0,5.0,1.0,2007
Rise of the Footsoldier,"['Action', 'Adventure', 'Crime', 'Drama', 'Thriller']",119.0,6.8,80.0,2007
Joe Strummer: The Future Is Unwritten,"['Music', 'Documentary']",123.0,7.3,20.0,2007
Canvas,['Drama'],101.0,6.1,5.0,2006
The Count of Monte Cristo,"['Drama', 'Adventure']",113.0,5.6,14.0,1934
Wedding Daze,['Comedy'],90.0,5.2,96.0,2006
The Prisoner of Shark Island,"['Drama', 'History']",96.0,7.0,12.0,1936
Dark Angel,"['Action', 'Thriller', 'Science Fiction', 'Crime', 'Horror']",91.0,5.5,75.0,1990
Teeth,"['Comedy', 'Horror']",94.0,5.2,213.0,2007
Crime Zone,"['Fantasy', 'Science Fiction', 'Adventure']",96.0,3.9,7.0,1989
Visiting Hours,"['Horror', 'Thriller']",105.0,5.4,22.0,1982
"Big Bang Love, Juvenile A","['Fantasy', 'Drama']",85.0,6.5,18.0,2006
Noriko's Dinner Table,"['Drama', 'Foreign', 'Horror']",159.0,6.8,34.0,2005
Welcome Home Roscoe Jenkins,"['Comedy', 'Drama']",114.0,5.7,58.0,2008
Fool's Gold,"['Romance', 'Comedy', 'Adventure']",112.0,5.4,454.0,2008
The Great Lie,['Drama'],108.0,6.1,11.0,1941
Blue State,"['Comedy', 'Drama', 'Romance']",88.0,6.2,13.0,2007
U2 3D,"['Music', 'Documentary']",85.0,6.7,10.0,2007
Deep Water,"['Documentary', 'Adventure', 'Drama', 'Action']",92.0,6.7,13.0,2006
The Art of Negative Thinking,"['Comedy', 'Drama']",93.0,7.0,6.0,2006
In Which We Serve,"['Drama', 'War']",115.0,6.6,18.0,1942
The Motel,"['Drama', 'Comedy']",75.0,7.0,3.0,2005
Hunger,['Drama'],112.0,7.5,11.0,1966
The Shout,"['Horror', 'Drama']",86.0,6.4,22.0,1978
Jumper,"['Adventure', 'Fantasy', 'Science Fiction']",88.0,5.9,1855.0,2008
It's a Free World...,['Drama'],96.0,6.1,23.0,2007
Already Dead,"['Action', 'Crime', 'Drama', 'Mystery', 'Thriller']",93.0,4.4,6.0,2007
"Definitely, Maybe","['Comedy', 'Romance']",112.0,6.7,638.0,2008
I Live in Fear,['Drama'],103.0,6.8,20.0,1955
Four Sons,"['War', 'Drama']",100.0,6.8,4.0,1928
The Air I Breathe,"['Drama', 'Action', 'Thriller', 'Crime']",95.0,6.1,115.0,2007
Hangman's House,"['Thriller', 'Drama', 'Romance']",80.0,6.3,4.0,1928
Street Thief,"['Crime', 'Drama', 'Thriller']",86.0,6.3,11.0,2006
The 10th District Court: Moments of Trial,"['Documentary', 'Foreign']",105.0,6.5,2.0,2004
Vantage Point,"['Drama', 'Action', 'Thriller', 'Crime']",90.0,6.3,731.0,2008
The Spiderwick Chronicles,"['Adventure', 'Family', 'Fantasy']",95.0,6.3,593.0,2008
Step Up 2: The Streets,"['Music', 'Drama', 'Romance']",98.0,6.5,658.0,2008
Jodhaa Akbar,"['Action', 'Adventure', 'Drama', 'History', 'Romance']",213.0,7.6,74.0,2008
Born Reckless,"['Crime', 'Comedy', 'Drama']",82.0,5.0,2.0,1930
Il Mare,"['Fantasy', 'Drama', 'Romance']",105.0,7.3,31.0,2000
Up the River,"['Comedy', 'Crime']",85.0,5.7,6.0,1930
Great World of Sound,"['Comedy', 'Drama', 'Music']",106.0,6.0,2.0,2007
Witless Protection,"['Action', 'Adventure', 'Comedy', 'Crime']",97.0,3.9,27.0,2008
The Other Boleyn Girl,['Drama'],115.0,6.4,498.0,2008
Semi-Pro,['Comedy'],91.0,5.4,255.0,2008
"Run, Fatboy, Run","['Comedy', 'Romance']",100.0,6.2,241.0,2007
Crying Out Love in the Center of the World,"['Drama', 'Romance']",138.0,6.9,15.0,2004
Seas Beneath,"['Action', 'Drama', 'War']",90.0,7.0,1.0,1931
Please Vote for Me,"['Documentary', 'Foreign']",58.0,7.0,4.0,2007
Taxi to the Dark Side,['Documentary'],106.0,6.6,53.0,2007
Out of the Blue,['Drama'],103.0,5.9,18.0,2006
The Method,"['Drama', 'Thriller']",115.0,6.8,38.0,2005
Which Way Is Up?,['Comedy'],94.0,6.1,11.0,1977
Grace is Gone,['Drama'],85.0,6.1,32.0,2007
The Marksman,"['Action', 'Adventure', 'Thriller']",95.0,3.9,25.0,2005
Gran Paradiso,['Adventure'],0.0,0.0,0.0,2000
Keeper of the Flame,"['Mystery', 'Drama', 'Thriller']",100.0,7.3,6.0,1943
The Emperor Waltz,"['Romance', 'Comedy', 'Music']",106.0,6.0,1.0,1948
Descent,"['Drama', 'Thriller']",110.0,3.7,16.0,2007
College Road Trip,"['Comedy', 'Family']",83.0,5.0,91.0,2008
"10,000 BC","['Adventure', 'Action', 'Drama', 'Fantasy']",109.0,5.1,934.0,2008
The Bank Job,"['Thriller', 'Crime', 'Drama']",112.0,6.6,708.0,2008
Doomsday,"['Action', 'Thriller', 'Science Fiction']",108.0,5.8,374.0,2008
Horton Hears a Who!,"['Animation', 'Comedy', 'Family', 'Adventure', 'Fantasy']",88.0,6.3,927.0,2008
Funny Games,"['Horror', 'Thriller', 'Crime']",112.0,6.3,562.0,2007
The Counterfeiters,"['Drama', 'War']",98.0,7.3,145.0,2007
Mongol: The Rise of Genghis Khan,['History'],120.0,6.5,165.0,2007
War Dance,"['Documentary', 'Music', 'War']",105.0,7.3,3.0,2007
The Love Guru,"['Comedy', 'Romance']",87.0,4.3,243.0,2008
VeggieTales: The Pirates Who Don't Do Anything,"['Adventure', 'Animation', 'Comedy', 'Science Fiction', 'Family']",85.0,5.9,25.0,2008
Diary of the Dead,"['Horror', 'Action', 'Science Fiction']",95.0,5.4,194.0,2007
Hallam Foe,"['Drama', 'Comedy', 'Thriller']",95.0,6.8,51.0,2007
Penelope,"['Fantasy', 'Comedy', 'Romance']",103.0,6.5,409.0,2006
City of Men,['Drama'],106.0,6.6,66.0,2007
Chicago 10,['Documentary'],110.0,6.6,5.0,2007
"Romulus, My Father",['Drama'],104.0,6.0,13.0,2007
The Woman in White,"['Drama', 'Mystery', 'Romance', 'Thriller']",109.0,5.1,6.0,1948
Zeitgeist,"['Documentary', 'History']",118.0,7.0,173.0,2007
Terkel in Trouble,"['Animation', 'Comedy']",77.0,6.8,24.0,2004
Jellyfish,"['Drama', 'Comedy', 'Romance', 'Foreign']",82.0,6.4,10.0,2007
Justice League: The New Frontier,"['Action', 'Adventure', 'Animation', 'Science Fiction']",75.0,6.6,115.0,2008
The District,"['Animation', 'Science Fiction', 'Comedy']",87.0,5.3,5.0,2004
The Hottest State,"['Music', 'Drama', 'Romance']",117.0,5.3,6.0,2006
Then She Found Me,"['Comedy', 'Drama', 'Romance']",100.0,5.4,51.0,2007
The Naked Island,['Drama'],94.0,7.6,29.0,1960
Sigur Rós: Heima,['Music'],97.0,8.0,22.0,2007
What Just Happened,"['Comedy', 'Drama']",104.0,5.2,128.0,2008
A Little Trip to Heaven,"['Drama', 'Thriller']",98.0,5.2,21.0,2005
Downhill Racer,['Drama'],101.0,6.1,24.0,1969
Saving Sarah Cain,"['Drama', 'Family']",103.0,5.5,4.0,2007
Return of the Living Dead 3,"['Comedy', 'Science Fiction', 'Romance', 'Horror']",97.0,5.9,88.0,1993
Miss Pettigrew Lives for a Day,"['Drama', 'Comedy', 'Romance']",92.0,6.8,100.0,2008
Snow Angels,"['Drama', 'Romance']",106.0,6.3,50.0,2008
Married Life,"['Crime', 'Drama', 'Romance']",90.0,6.1,38.0,2007
Believers,"['Horror', 'Thriller']",95.0,4.5,13.0,2007
Sun Valley Serenade,"['Comedy', 'Music', 'Romance']",86.0,6.0,3.0,1941
Mala Noche,['Drama'],78.0,6.0,20.0,1986
On the Outs,['Drama'],86.0,5.9,6.0,2004
Stupid Boy,"['Comedy', 'Drama']",94.0,4.4,9.0,2004
The Class,['Drama'],99.0,7.6,54.0,2007
The Dark Knight,"['Drama', 'Action', 'Crime', 'Thriller']",152.0,8.3,12269.0,2008
Doctor Bull,['Comedy'],79.0,5.0,2.0,1933
Made in U.S.A,"['Comedy', 'Crime', 'Mystery']",90.0,6.5,16.0,1966
Restless Natives,"['Comedy', 'Foreign']",89.0,6.3,8.0,1985
Quiet City,"['Drama', 'Romance']",78.0,6.6,7.0,2007
Phar Lap,"['Drama', 'Family']",107.0,7.3,9.0,1983
51 Birch Street,['Documentary'],90.0,6.8,6.0,2006
Black Dawn,['Action'],96.0,3.6,21.0,2005
The Hammer,['Comedy'],88.0,6.5,15.0,2007
Never Back Down,"['Drama', 'Action']",115.0,6.5,511.0,2008
Terror's Advocate,"['Documentary', 'Foreign']",135.0,6.7,11.0,2007
9 Star Hotel,"['Documentary', 'Foreign']",78.0,0.0,0.0,2007
Napoleon,"['Drama', 'History']",332.0,7.9,28.0,1927
CJ7,"['Comedy', 'Drama', 'Family', 'Fantasy', 'Science Fiction']",86.0,6.1,110.0,2008
Drillbit Taylor,['Comedy'],102.0,5.5,284.0,2008
Dead Awake,"['Thriller', 'Romance']",100.0,7.0,3.0,2001
Under the Same Moon,['Drama'],106.0,7.0,28.0,2008
Tropical Malady,"['Drama', 'Fantasy', 'Romance']",118.0,6.6,26.0,2005
Slipstream,"['Fantasy', 'Comedy', 'Drama']",96.0,5.5,22.0,2007
Terror of Mechagodzilla,"['Action', 'Science Fiction', 'Fantasy']",83.0,5.6,23.0,1975
The Smiling Lieutenant,"['Comedy', 'Music', 'Romance']",93.0,6.6,14.0,1931
Alatriste,['Action'],145.0,5.6,62.0,2006
Joysticks,['Comedy'],88.0,5.2,14.0,1983
Spirit Trap,"['Thriller', 'Horror']",91.0,4.1,8.0,2005
The Promised Land,['Drama'],179.0,7.0,10.0,1975
Youth Without Youth,"['Fantasy', 'Drama', 'Mystery']",125.0,6.5,47.0,2007
Khadak,['Drama'],104.0,6.6,5.0,2006
21,"['Drama', 'Crime']",123.0,6.5,1406.0,2008
Smart People,"['Comedy', 'Drama', 'Romance']",95.0,5.8,74.0,2008
Pierrepoint: The Last Hangman,['Drama'],98.0,7.7,16.0,2005
The Hawk Is Dying,['Drama'],112.0,5.8,4.0,2007
Le Bal,[],110.0,7.4,12.0,1983
The Gymnast,"['Drama', 'Romance']",96.0,7.5,8.0,2006
The Shepherd: Border Patrol,"['Action', 'Crime', 'Thriller']",95.0,5.1,30.0,2008
Leatherheads,"['Comedy', 'Romance', 'Drama']",114.0,5.7,131.0,2008
Assembly,"['Action', 'History']",124.0,7.1,35.0,2007
Why Not?,['Drama'],151.0,6.7,3.0,1981
Pirates,"['Adventure', 'Comedy']",124.0,6.2,47.0,1986
Zebraman,"['Action', 'Comedy', 'Foreign']",115.0,6.8,25.0,2004
Marketa Lazarová,"['Drama', 'History']",162.0,8.0,32.0,1967
Stop-Loss,"['Drama', 'War']",113.0,6.1,84.0,2008
Shine a Light,"['Documentary', 'Music']",122.0,7.2,45.0,2008
Dark Matter,['Drama'],90.0,6.4,16.0,2007
The Business of Being Born,['Documentary'],87.0,7.3,13.0,2008
Black Peter,"['Drama', 'Comedy']",85.0,7.3,10.0,1964
The Aerial,"['Science Fiction', 'Drama']",99.0,7.1,19.0,2007
Chan Is Missing,"['Action', 'Comedy', 'Crime']",80.0,7.5,6.0,1982
Close to Home,['Drama'],98.0,6.3,6.0,2005
White Palms,"['Drama', 'Foreign']",97.0,7.4,7.0,2006
Saawariya,"['Drama', 'Foreign', 'Romance']",142.0,5.5,25.0,2007
Julia,['Drama'],138.0,7.2,23.0,2008
I Always Wanted to Be a Gangster,"['Drama', 'Comedy', 'Crime']",108.0,7.3,22.0,2008
Just Anybody,[],121.0,5.0,1.0,2008
The Pope's Toilet,"['Drama', 'Comedy', 'Foreign']",90.0,6.8,14.0,2007
Inside,['Horror'],79.0,6.7,152.0,2007
Nim's Island,"['Adventure', 'Comedy', 'Family', 'Fantasy']",96.0,5.6,341.0,2008
The Ruins,"['Drama', 'Horror']",91.0,5.6,270.0,2008
Joy Division,['Documentary'],93.0,7.7,22.0,2007
Manda Bala (Send a Bullet),['Documentary'],85.0,5.4,5.0,2007
Forgetting Sarah Marshall,"['Comedy', 'Romance', 'Drama']",111.0,6.4,1194.0,2008
Sex and Death 101,"['Comedy', 'Romance', 'Drama']",100.0,5.6,67.0,2007
Superhero Movie,"['Action', 'Comedy', 'Science Fiction']",85.0,4.9,394.0,2008
Street Kings,"['Action', 'Crime', 'Drama', 'Thriller']",109.0,6.3,369.0,2008
The Visitor,"['Crime', 'Drama', 'Music']",104.0,6.9,132.0,2007
Harold & Kumar Escape from Guantanamo Bay,"['Comedy', 'Adventure']",107.0,6.2,508.0,2008
99 francs,"['Drama', 'Comedy']",100.0,6.4,211.0,2007
Private Property,['Drama'],95.0,6.4,9.0,2006
Speed Racer,"['Action', 'Family', 'Science Fiction']",135.0,5.7,359.0,2008
Gabriel,"['Fantasy', 'Horror', 'Action', 'Science Fiction']",109.0,5.0,77.0,2007
Diminished Capacity,"['Action', 'Comedy', 'Drama', 'Thriller']",92.0,6.2,3.0,2008
Nathalie...,['Drama'],105.0,6.1,16.0,2003
Chapter 27,['Drama'],84.0,5.7,70.0,2007
The Thief Who Came to Dinner,"['Romance', 'Comedy']",104.0,8.3,4.0,1973
The Forbidden Kingdom,"['Action', 'Adventure', 'Fantasy']",104.0,6.3,476.0,2008
Where in the World Is Osama Bin Laden?,['Documentary'],93.0,6.4,19.0,2008
The Life Before Her Eyes,"['Thriller', 'Drama', 'Mystery']",90.0,6.1,88.0,2007
"Puff, Puff, Pass",['Comedy'],94.0,6.1,12.0,2006
Pulp,"['Mystery', 'Crime', 'Drama']",95.0,6.3,8.0,1972
Virgin Territory,"['Adventure', 'Action', 'Comedy', 'Romance']",93.0,4.3,75.0,2007
Happy-Go-Lucky,"['Drama', 'Comedy']",118.0,6.4,130.0,2008
Religulous,"['Comedy', 'Documentary']",101.0,7.2,200.0,2008
Outpost,"['Action', 'Adventure', 'Horror']",90.0,6.0,79.0,2007
Are You Scared?,"['Action', 'Horror', 'Thriller']",79.0,3.5,11.0,2006
Before Flying Back to Earth,['Documentary'],52.0,6.0,2.0,2005
Bernard and Doris,"['Comedy', 'Drama']",103.0,6.4,22.0,2006
Son of Rambow,['Comedy'],96.0,6.7,146.0,2007
Super High Me,"['Comedy', 'Documentary']",89.0,5.9,71.0,2007
Black Friday,"['Crime', 'Horror', 'Science Fiction']",70.0,6.5,7.0,1940
The Invisible Ray,"['Science Fiction', 'Horror', 'Mystery']",80.0,6.2,11.0,1936
Murders in the Rue Morgue,"['Romance', 'Crime', 'Horror', 'Mystery']",61.0,6.0,20.0,1932
The Killer Elite,"['Crime', 'Action']",122.0,5.8,24.0,1975
Tarzan Escapes,"['Action', 'Adventure']",89.0,6.3,14.0,1936
Tarzan Finds a Son!,"['Action', 'Adventure']",82.0,5.8,22.0,1939
Tarzan's Secret Treasure,"['Action', 'Adventure', 'Romance']",81.0,5.5,13.0,1941
Tarzan's New York Adventure,"['Action', 'Adventure']",71.0,5.7,21.0,1942
Viva Zapata!,"['History', 'Drama', 'Western']",113.0,6.6,41.0,1952
Antares,['Drama'],105.0,5.7,15.0,2004
Outsourced,"['Comedy', 'Drama', 'Romance']",102.0,6.3,58.0,2006
Deception,['Thriller'],107.0,5.7,200.0,2008
Baby Mama,['Comedy'],99.0,5.8,205.0,2008
The Unknown Woman,"['Drama', 'Mystery']",118.0,7.1,49.0,2006
Delirious,"['Comedy', 'Drama', 'Romance']",107.0,6.7,18.0,2006
Klimt,"['Drama', 'Romance']",131.0,5.5,20.0,2006
Expelled: No Intelligence Allowed,['Documentary'],90.0,4.1,33.0,2008
Viva Cuba,"['Drama', 'Fantasy', 'Foreign', 'Romance']",93.0,7.1,9.0,2005
Prom Night,"['Crime', 'Horror']",88.0,4.8,170.0,2008
The White Massai,['Drama'],131.0,6.4,18.0,2005
Iron Man,"['Action', 'Science Fiction', 'Adventure']",126.0,7.4,8951.0,2008
Possessed,['Horror'],96.0,6.0,3.0,1999
Made of Honor,"['Comedy', 'Romance']",101.0,6.0,410.0,2008
Redbelt,['Drama'],99.0,6.4,77.0,2008
Mister Lonely,"['Comedy', 'Drama']",112.0,6.6,21.0,2008
Anamorph,"['Crime', 'Thriller']",107.0,5.0,49.0,2007
"The Bread, My Sweet","['Drama', 'Romance']",105.0,5.0,6.0,2001
Taken,"['Action', 'Thriller']",93.0,7.2,4444.0,2008
Hero Wanted,"['Action', 'Adventure', 'Crime', 'Drama', 'Thriller']",95.0,5.3,36.0,2008
Flight of the Red Balloon,"['Family', 'Drama']",117.0,6.1,15.0,2007
The Fall,"['Adventure', 'Fantasy', 'Drama']",117.0,7.7,430.0,2008
Stargate: The Ark of Truth,"['Adventure', 'Science Fiction']",97.0,6.9,143.0,2008
Walk All Over Me,"['Crime', 'Drama', 'Thriller']",98.0,6.4,9.0,2007
Blind Dating,['Comedy'],99.0,6.0,51.0,2006
Meet Bill,"['Comedy', 'Drama', 'Romance']",97.0,5.9,89.0,2007
An American Crime,"['Crime', 'Drama']",97.0,7.3,165.0,2007
What Happens in Vegas,"['Comedy', 'Romance']",99.0,5.8,949.0,2008
White Night,['Drama'],100.0,5.3,6.0,2007
American Pie Presents: Beta House,['Comedy'],88.0,5.4,480.0,2007
Numb,"['Comedy', 'Drama', 'Romance']",93.0,5.3,26.0,2007
Bella,"['Drama', 'Romance']",91.0,6.7,37.0,2006
Fiorile,"['Drama', 'Foreign', 'Romance']",118.0,7.0,6.0,1993
The Man Between,['Thriller'],100.0,7.3,8.0,1953
The Stars Look Down,['Drama'],110.0,6.3,3.0,1940
The Unknown Soldier,"['Drama', 'History', 'Documentary', 'War', 'Foreign']",97.0,5.0,1.0,2006
a/k/a Tommy Chong,['Documentary'],84.0,7.3,11.0,2006
The Chronicles of Narnia: Prince Caspian,"['Adventure', 'Family', 'Fantasy']",150.0,6.3,1668.0,2008
Reprise,['Drama'],105.0,6.8,29.0,2006
The Window,['Thriller'],73.0,7.3,11.0,1949
The Ron Clark Story,"['TV Movie', 'Drama']",90.0,7.0,19.0,2006
Shelter,"['Action', 'Drama', 'Romance']",97.0,7.8,100.0,2007
American Crude,['Comedy'],94.0,2.4,8.0,2008
Young @ Heart,['Documentary'],107.0,7.6,20.0,2008
"War, Inc.","['Action', 'Adventure', 'Comedy', 'Thriller']",106.0,5.6,86.0,2008
The Year of the Wolf,['Drama'],95.0,6.8,4.0,2007
The Girl Next Door,"['Thriller', 'Crime', 'Drama', 'Horror']",91.0,6.5,209.0,2007
King Corn,['Documentary'],88.0,6.8,12.0,2007
Indiana Jones and the Kingdom of the Crystal Skull,"['Adventure', 'Action']",122.0,5.7,2558.0,2008
How to Rob a Bank,"['Action', 'Comedy', 'Crime']",81.0,6.2,35.0,2007
Hey Hey It's Esther Blueburger,"['Comedy', 'Drama']",103.0,6.5,4.0,2008
The Quiet American,"['Drama', 'Romance', 'Thriller', 'War']",120.0,5.3,7.0,1958
Blonde and Blonder,"['Action', 'Comedy']",95.0,4.4,12.0,2008
Wesley Willis: The Daddy of Rock 'n' Roll,['Documentary'],59.0,0.0,0.0,2003
Patti Smith: Dream of Life,"['Documentary', 'Music']",109.0,6.2,8.0,2008
Day of the Outlaw,"['Thriller', 'Western']",92.0,5.7,16.0,1959
Nina's Heavenly Delights,"['Romance', 'Comedy', 'Drama']",94.0,6.7,9.0,2006
Following Sean,['Documentary'],87.0,6.1,5.0,2006
One Hour with You,"['Comedy', 'Music', 'Romance']",80.0,5.4,8.0,1932
Lake of Fire,['Documentary'],152.0,8.1,11.0,2006
The Witnesses,"['Drama', 'Romance']",112.0,6.9,16.0,2007
The Oxford Murders,"['Crime', 'Mystery', 'Thriller']",107.0,5.7,191.0,2008
Shutter,"['Horror', 'Mystery', 'Thriller']",85.0,5.3,184.0,2008
The Grand,['Comedy'],104.0,6.3,22.0,2007
Sex and the City,"['Comedy', 'Drama', 'Romance']",145.0,6.0,525.0,2008
The Strangers,"['Thriller', 'Horror', 'Mystery']",86.0,6.0,509.0,2008
Savage Grace,['Drama'],97.0,5.7,60.0,2007
Bigger Stronger Faster*,['Documentary'],105.0,7.0,41.0,2008
All the Boys Love Mandy Lane,"['Horror', 'Mystery', 'Thriller']",90.0,5.7,211.0,2008
Memories of Matsuko,"['Comedy', 'Drama']",130.0,7.2,33.0,2006
Allan Quatermain and the Temple of Skulls,"['Romance', 'Adventure', 'Action']",98.0,3.4,11.0,2008
Kung Fu Panda,"['Adventure', 'Animation', 'Family', 'Comedy']",90.0,6.9,3231.0,2008
What Would Jesus Buy?,['Documentary'],91.0,7.7,3.0,2007
Extreme Private Eros: Love Song 1974,"['Documentary', 'Foreign']",98.0,7.6,5.0,1974
The Emperor's Naked Army Marches On,"['Documentary', 'Foreign']",122.0,7.5,7.0,1987
Antonio das Mortes,"['Drama', 'Western']",100.0,6.0,13.0,1969
Recount,"['Drama', 'History']",116.0,6.6,43.0,2008
Ex Drummer,"['Comedy', 'Crime', 'Drama', 'Thriller']",90.0,6.6,50.0,2007
The Art of Crying,['Drama'],106.0,6.6,8.0,2007
Where the Sidewalk Ends,"['Action', 'Crime', 'Drama', 'Thriller']",95.0,6.5,36.0,1950
100 Rifles,"['Adventure', 'Action', 'Western', 'War']",110.0,5.5,24.0,1969
Blood Alley,"['Adventure', 'Action', 'Thriller']",110.0,5.8,9.0,1955
Chato's Land,"['Action', 'Adventure', 'Western']",110.0,6.7,33.0,1972
Cold Sweat,"['Thriller', 'Action']",94.0,5.3,11.0,1970
The FBI Story,['Drama'],149.0,4.5,7.0,1959
"Farewell, Friend","['Crime', 'Action', 'Adventure']",115.0,6.4,18.0,1968
The Iron Mask,"['Action', 'Drama']",103.0,7.3,4.0,1929
St. Ives,"['Crime', 'Action', 'Thriller', 'Mystery']",94.0,5.7,11.0,1976
Villa Rides,"['Action', 'Western']",125.0,5.8,15.0,1968
The Wings of Eagles,"['War', 'Action', 'Drama']",110.0,6.5,13.0,1957
Steamboat Round the Bend,['Comedy'],81.0,8.5,2.0,1935
The World Moves On,"['Drama', 'History', 'Romance']",104.0,6.0,1.0,1934
Pilgrimage,['Drama'],96.0,5.0,1.0,1933
Lonelyhearts,['Drama'],100.0,3.8,4.0,1958
The Andromeda Strain,"['Romance', 'Science Fiction', 'Thriller']",180.0,6.3,78.0,2008
Boat People,['Drama'],109.0,7.0,4.0,1982
Wrong Move,['Drama'],103.0,7.4,9.0,1975
Dust in the Wind,"['Drama', 'Romance']",109.0,7.9,12.0,1986
You Don't Mess with the Zohan,"['Comedy', 'Action']",113.0,5.5,1068.0,2008
The Prefab People,['Drama'],102.0,6.6,10.0,1982
The Promotion,['Comedy'],86.0,5.4,76.0,2008
When Did You Last See Your Father?,['Drama'],92.0,6.8,14.0,2007
My Brother Is an Only Child,['Comedy'],108.0,6.7,61.0,2007
Stuck,"['Crime', 'Horror', 'Mystery', 'Thriller']",85.0,6.1,53.0,2007
July Rhapsody,"['Drama', 'Foreign', 'Romance']",103.0,5.6,6.0,2002
Flesh Gordon,"['Comedy', 'Science Fiction']",90.0,4.5,28.0,1974
Telefon,['Thriller'],102.0,5.9,17.0,1977
The Lost World,"['Adventure', 'Fantasy', 'Science Fiction']",97.0,5.0,31.0,1960
The Mark of Zorro,"['Western', 'Adventure', 'Drama', 'Action', 'Romance']",107.0,6.3,6.0,1920
The Protector,"['Action', 'Adventure', 'Comedy', 'Crime', 'Drama']",91.0,5.7,34.0,1985
